0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.4406756,12.6398065,10.8964207,9.8495633,5.3495033,5.3891359,6.5273609,6.473224,23.0592957,38.5083338,10.1618324,9.8803293,25.8865516,25.8267271,11.633643,24.0285595,23.7639992,24.3151999,34.2313168,34.2181646
27.1399094,27.4046544,13.179512,18.4671373,9.715871,9.8067782,12.5754748,12.4237068,36.0510194,64.107683,34.2404824,19.6638302,37.8010197,37.9580589,23.4160388,45.3950411,50.3282521,49.6805592,43.3972442,83.6304164
42.9933343,43.1028291,15.0630486,23.6501086,15.0153143,14.9199865,17.842205,18.9561218,63.5627622,75.4405903,60.5068926,24.5478719,52.2679648,52.1064292,40.4650085,60.6765648,75.6927859,76.5282216,59.3295803,
57.0375038,57.0363167,28.0124613,28.1501178,25.1164224,33.4041167,27.6090589,27.6716437,78.7322778,134.8693034,95.5207138,35.6624265,56.9356899,56.8905975,61.2622662,70.7253515,,,83.1629352,
70.9365731,71.2012757,49.2419242,43.8990859,33.4483589,40.4695686,33.9081963,33.8214319,102.8449031,,,65.1782437,61.8186329,61.773023,71.1947149,111.4714643,,,,
85.3353824,85.3342078,54.726188,49.0640548,40.6466884,47.0194482,54.8737989,54.8195507,132.9747918,,,84.6762578,66.6999849,71.4895448,105.3561468,,,,,
99.4525668,99.4323329,64.1921949,54.6811723,46.7129881,56.0865228,72.0054711,79.6846014,135.1755783,,,90.0096712,71.4679481,81.1541442,111.5902501,,,,,
,,76.7579133,64.1305823,70.9113982,,102.7697823,83.6336691,,,,95.2414043,86.1653568,,,,,,,
,,83.8572245,76.6458348,,,110.91901,102.781637,,,,,,,,,,,,
,,,84.0781368,,,123.601769,124.5811623,,,,,,,,,,,,
,,,,,,131.801738,137.3809501,,,,,,,,,,,,
,,,,,,139.4336223,140.3628215,,,,,,,,,,,,
